ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Total_Spending,Spending_to_Income,Spender_Type,Income_Group,Spender_Class,Customer_Type,Risk_Score,Risk_Level,Alert,spending_norm
5524,1957,Graduation,Single,58138.0,0,0,04-09-2012,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,1529,0.026299494306649695,Normal Spender,Low Income,Saver,Low Income - Saver,20.457036030036907,Low Risk,Normal,0.6205357142857143
2174,1954,Graduation,Single,46344.0,1,1,08-03-2014,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,26,0.00056102192301053,Normal Spender,Low Income,Saver,Low Income - Saver,0.35582997616917866,Low Risk,Normal,0.010551948051948052
4141,1965,Graduation,Together,71613.0,0,0,21-08-2013,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,727,0.010151788083169256,Normal Spender,Low Income,Saver,Low Income - Saver,9.562086204782887,Low Risk,Normal,0.2950487012987013
6182,1984,Graduation,Together,26646.0,1,0,10-02-2014,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,49,0.0018389251670044285,Normal Spender,Low Income,Saver,Low Income - Saver,0.7253156707812191,Low Risk,Normal,0.019886363636363636
5324,1981,PhD,Married,58293.0,1,0,19-01-2014,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,379,0.006501638275607706,Normal Spender,Low Income,Saver,Low Income - Saver,5.069562731240591,Low Risk,Normal,0.15381493506493507
7446,1967,Master,Together,62513.0,0,1,09-09-2013,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,674,0.010781757394461952,Normal Spender,Low Income,Saver,Low Income - Saver,8.960891848781168,Low Risk,Normal,0.273538961038961
965,1971,Graduation,Divorced,55635.0,0,1,13-11-2012,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,525,0.009436505796710704,Normal Spender,Low Income,Saver,Low Income - Saver,7.052600860315203,Low Risk,Normal,0.21306818181818182
6177,1985,PhD,Married,33454.0,1,0,08-05-2013,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,159,0.004752794882525259,Normal Spender,Low Income,Saver,Low Income - Saver,2.2685722651533915,Low Risk,Normal,0.06452922077922078
4855,1974,PhD,Together,30351.0,1,0,06-06-2013,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,46,0.001515600803927383,Normal Spender,Low Income,Saver,Low Income - Saver,0.6661569913398517,Low Risk,Normal,0.018668831168831168
5899,1950,PhD,Together,5648.0,1,1,13-03-2014,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,49,0.008675637393767706,Normal Spender,Low Income,Saver,Low Income - Saver,1.2038855266546484,Low Risk,Normal,0.019886363636363636
387,1976,Basic,Married,7500.0,0,0,13-11-2012,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,45,0.006,Normal Spender,Low Income,Saver,Low Income - Saver,0.9678896103896103,Low Risk,Normal,0.018262987012987012
2125,1959,Graduation,Divorced,63033.0,0,0,15-11-2013,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,1041,0.01651515872638142,Normal Spender,Low Income,Saver,Low Income - Saver,13.830574097859685,Low Risk,Normal,0.4224837662337662
